,FPR,TPR,AUC,model
0,0.0,0.0,0.637739292108525,KNN
1,0.025547445255474453,0.07547169811320754,0.637739292108525,KNN
2,0.0948905109489051,0.2169811320754717,0.637739292108525,KNN
3,0.1897810218978102,0.36792452830188677,0.637739292108525,KNN
4,0.3722627737226277,0.5660377358490566,0.637739292108525,KNN
5,0.6386861313868614,0.8207547169811321,0.637739292108525,KNN
6,1.0,1.0,0.637739292108525,KNN
0,0.0,0.0,0.6671085249965569,RFC
1,0.010948905109489052,0.018867924528301886,0.6671085249965569,RFC
2,0.032846715328467155,0.09433962264150944,0.6671085249965569,RFC
3,0.072992700729927,0.2169811320754717,0.6671085249965569,RFC
4,0.15693430656934307,0.3584905660377358,0.6671085249965569,RFC
5,0.24817518248175183,0.5188679245283019,0.6671085249965569,RFC
6,0.35766423357664234,0.6037735849056604,0.6671085249965569,RFC
7,0.5547445255474452,0.7735849056603774,0.6671085249965569,RFC
8,0.7481751824817519,0.8867924528301887,0.6671085249965569,RFC
9,1.0,1.0,0.6671085249965569,RFC
0,0.0,0.0,0.572820548133866,DTC
1,0.28832116788321166,0.4339622641509434,0.572820548133866,DTC
2,1.0,1.0,0.572820548133866,DTC
0,0.0,0.0,0.6553160721663682,GBC
1,0.0036496350364963502,0.0,0.6553160721663682,GBC
2,0.0072992700729927005,0.0,0.6553160721663682,GBC
3,0.0072992700729927005,0.02830188679245283,0.6553160721663682,GBC
4,0.014598540145985401,0.02830188679245283,0.6553160721663682,GBC
5,0.014598540145985401,0.05660377358490566,0.6553160721663682,GBC
6,0.01824817518248175,0.05660377358490566,0.6553160721663682,GBC
7,0.01824817518248175,0.10377358490566038,0.6553160721663682,GBC
8,0.025547445255474453,0.10377358490566038,0.6553160721663682,GBC
9,0.025547445255474453,0.12264150943396226,0.6553160721663682,GBC
10,0.032846715328467155,0.12264150943396226,0.6553160721663682,GBC
11,0.032846715328467155,0.14150943396226415,0.6553160721663682,GBC
12,0.043795620437956206,0.14150943396226415,0.6553160721663682,GBC
13,0.043795620437956206,0.18867924528301888,0.6553160721663682,GBC
14,0.04744525547445255,0.18867924528301888,0.6553160721663682,GBC
15,0.04744525547445255,0.2169811320754717,0.6553160721663682,GBC
16,0.08759124087591241,0.2169811320754717,0.6553160721663682,GBC
17,0.08759124087591241,0.2641509433962264,0.6553160721663682,GBC
18,0.09124087591240876,0.2641509433962264,0.6553160721663682,GBC
19,0.09124087591240876,0.27358490566037735,0.6553160721663682,GBC
20,0.0948905109489051,0.27358490566037735,0.6553160721663682,GBC
21,0.0948905109489051,0.2830188679245283,0.6553160721663682,GBC
22,0.10948905109489052,0.2830188679245283,0.6553160721663682,GBC
23,0.10948905109489052,0.29245283018867924,0.6553160721663682,GBC
24,0.11313868613138686,0.29245283018867924,0.6553160721663682,GBC
25,0.11313868613138686,0.3018867924528302,0.6553160721663682,GBC
26,0.12773722627737227,0.3018867924528302,0.6553160721663682,GBC
27,0.12773722627737227,0.3113207547169811,0.6553160721663682,GBC
28,0.13138686131386862,0.3113207547169811,0.6553160721663682,GBC
29,0.13138686131386862,0.330188679245283,0.6553160721663682,GBC
30,0.15693430656934307,0.330188679245283,0.6553160721663682,GBC
31,0.15693430656934307,0.33962264150943394,0.6553160721663682,GBC
32,0.16423357664233576,0.33962264150943394,0.6553160721663682,GBC
33,0.16423357664233576,0.3584905660377358,0.6553160721663682,GBC
34,0.1678832116788321,0.3584905660377358,0.6553160721663682,GBC
35,0.1678832116788321,0.3867924528301887,0.6553160721663682,GBC
36,0.18248175182481752,0.3867924528301887,0.6553160721663682,GBC
37,0.18248175182481752,0.4056603773584906,0.6553160721663682,GBC
38,0.21897810218978103,0.4056603773584906,0.6553160721663682,GBC
39,0.21897810218978103,0.41509433962264153,0.6553160721663682,GBC
40,0.22262773722627738,0.41509433962264153,0.6553160721663682,GBC
41,0.22262773722627738,0.42452830188679247,0.6553160721663682,GBC
42,0.23357664233576642,0.42452830188679247,0.6553160721663682,GBC
43,0.23357664233576642,0.4339622641509434,0.6553160721663682,GBC
44,0.24087591240875914,0.4339622641509434,0.6553160721663682,GBC
45,0.24087591240875914,0.44339622641509435,0.6553160721663682,GBC
46,0.25547445255474455,0.44339622641509435,0.6553160721663682,GBC
47,0.25547445255474455,0.46226415094339623,0.6553160721663682,GBC
48,0.2737226277372263,0.46226415094339623,0.6553160721663682,GBC
49,0.2737226277372263,0.4716981132075472,0.6553160721663682,GBC
50,0.28832116788321166,0.4716981132075472,0.6553160721663682,GBC
51,0.28832116788321166,0.5,0.6553160721663682,GBC
52,0.3175182481751825,0.5,0.6553160721663682,GBC
53,0.3175182481751825,0.5188679245283019,0.6553160721663682,GBC
54,0.3284671532846715,0.5188679245283019,0.6553160721663682,GBC
55,0.3284671532846715,0.5283018867924528,0.6553160721663682,GBC
56,0.33941605839416056,0.5283018867924528,0.6553160721663682,GBC
57,0.33941605839416056,0.5471698113207547,0.6553160721663682,GBC
58,0.34306569343065696,0.5471698113207547,0.6553160721663682,GBC
59,0.34306569343065696,0.5566037735849056,0.6553160721663682,GBC
60,0.354014598540146,0.5566037735849056,0.6553160721663682,GBC
61,0.354014598540146,0.5660377358490566,0.6553160721663682,GBC
62,0.38321167883211676,0.5660377358490566,0.6553160721663682,GBC
63,0.38321167883211676,0.5849056603773585,0.6553160721663682,GBC
64,0.38686131386861317,0.5849056603773585,0.6553160721663682,GBC
65,0.38686131386861317,0.5943396226415094,0.6553160721663682,GBC
66,0.4051094890510949,0.5943396226415094,0.6553160721663682,GBC
67,0.4051094890510949,0.6037735849056604,0.6553160721663682,GBC
68,0.4124087591240876,0.6037735849056604,0.6553160721663682,GBC
69,0.4124087591240876,0.6132075471698113,0.6553160721663682,GBC
70,0.4233576642335766,0.6132075471698113,0.6553160721663682,GBC
71,0.4233576642335766,0.6226415094339622,0.6553160721663682,GBC
72,0.42700729927007297,0.6226415094339622,0.6553160721663682,GBC
73,0.42700729927007297,0.6320754716981132,0.6553160721663682,GBC
74,0.43795620437956206,0.6320754716981132,0.6553160721663682,GBC
75,0.43795620437956206,0.6415094339622641,0.6553160721663682,GBC
76,0.45255474452554745,0.6415094339622641,0.6553160721663682,GBC
77,0.45255474452554745,0.6509433962264151,0.6553160721663682,GBC
78,0.4635036496350365,0.6509433962264151,0.6553160721663682,GBC
79,0.4635036496350365,0.660377358490566,0.6553160721663682,GBC
80,0.4708029197080292,0.660377358490566,0.6553160721663682,GBC
81,0.4708029197080292,0.6698113207547169,0.6553160721663682,GBC
82,0.48175182481751827,0.6698113207547169,0.6553160721663682,GBC
83,0.48175182481751827,0.6792452830188679,0.6553160721663682,GBC
84,0.4854014598540146,0.6792452830188679,0.6553160721663682,GBC
85,0.4854014598540146,0.6886792452830188,0.6553160721663682,GBC
86,0.5,0.6886792452830188,0.6553160721663682,GBC
87,0.5,0.6981132075471698,0.6553160721663682,GBC
88,0.5072992700729927,0.6981132075471698,0.6553160721663682,GBC
89,0.5072992700729927,0.7264150943396226,0.6553160721663682,GBC
90,0.5328467153284672,0.7264150943396226,0.6553160721663682,GBC
91,0.5328467153284672,0.7358490566037735,0.6553160721663682,GBC
92,0.5437956204379562,0.7358490566037735,0.6553160721663682,GBC
93,0.5437956204379562,0.7452830188679245,0.6553160721663682,GBC
94,0.5547445255474452,0.7452830188679245,0.6553160721663682,GBC
95,0.5547445255474452,0.7547169811320755,0.6553160721663682,GBC
96,0.5656934306569343,0.7547169811320755,0.6553160721663682,GBC
97,0.5656934306569343,0.7641509433962265,0.6553160721663682,GBC
98,0.5693430656934306,0.7641509433962265,0.6553160721663682,GBC
99,0.5693430656934306,0.7830188679245284,0.6553160721663682,GBC
100,0.572992700729927,0.7830188679245284,0.6553160721663682,GBC
101,0.572992700729927,0.7924528301886793,0.6553160721663682,GBC
102,0.6021897810218978,0.7924528301886793,0.6553160721663682,GBC
103,0.6021897810218978,0.8113207547169812,0.6553160721663682,GBC
104,0.6167883211678832,0.8113207547169812,0.6553160721663682,GBC
105,0.6167883211678832,0.8207547169811321,0.6553160721663682,GBC
106,0.6313868613138686,0.8207547169811321,0.6553160721663682,GBC
107,0.6313868613138686,0.8301886792452831,0.6553160721663682,GBC
108,0.656934306569343,0.8301886792452831,0.6553160721663682,GBC
109,0.656934306569343,0.839622641509434,0.6553160721663682,GBC
110,0.6788321167883211,0.839622641509434,0.6553160721663682,GBC
111,0.6788321167883211,0.8490566037735849,0.6553160721663682,GBC
112,0.7007299270072993,0.8490566037735849,0.6553160721663682,GBC
113,0.7007299270072993,0.8584905660377359,0.6553160721663682,GBC
114,0.708029197080292,0.8584905660377359,0.6553160721663682,GBC
115,0.708029197080292,0.8679245283018868,0.6553160721663682,GBC
116,0.7299270072992701,0.8679245283018868,0.6553160721663682,GBC
117,0.7299270072992701,0.8867924528301887,0.6553160721663682,GBC
118,0.7518248175182481,0.8867924528301887,0.6553160721663682,GBC
119,0.7518248175182481,0.8962264150943396,0.6553160721663682,GBC
120,0.7591240875912408,0.8962264150943396,0.6553160721663682,GBC
121,0.7591240875912408,0.9056603773584906,0.6553160721663682,GBC
122,0.7627737226277372,0.9056603773584906,0.6553160721663682,GBC
123,0.7627737226277372,0.9150943396226415,0.6553160721663682,GBC
124,0.7700729927007299,0.9150943396226415,0.6553160721663682,GBC
125,0.7700729927007299,0.9245283018867925,0.6553160721663682,GBC
126,0.8102189781021898,0.9245283018867925,0.6553160721663682,GBC
127,0.8102189781021898,0.9339622641509434,0.6553160721663682,GBC
128,0.8613138686131386,0.9339622641509434,0.6553160721663682,GBC
129,0.8613138686131386,0.9433962264150944,0.6553160721663682,GBC
130,0.864963503649635,0.9433962264150944,0.6553160721663682,GBC
131,0.864963503649635,0.9528301886792453,0.6553160721663682,GBC
132,0.8941605839416058,0.9528301886792453,0.6553160721663682,GBC
133,0.8941605839416058,0.9622641509433962,0.6553160721663682,GBC
134,0.916058394160584,0.9622641509433962,0.6553160721663682,GBC
135,0.916058394160584,0.9811320754716981,0.6553160721663682,GBC
136,0.9416058394160584,0.9811320754716981,0.6553160721663682,GBC
137,0.9416058394160584,0.9905660377358491,0.6553160721663682,GBC
138,0.9562043795620438,0.9905660377358491,0.6553160721663682,GBC
139,0.9562043795620438,1.0,0.6553160721663682,GBC
140,0.9598540145985401,1.0,0.6553160721663682,GBC
141,0.9671532846715328,1.0,0.6553160721663682,GBC
142,0.9854014598540146,1.0,0.6553160721663682,GBC
143,0.9927007299270073,1.0,0.6553160721663682,GBC
144,1.0,1.0,0.6553160721663682,GBC
0,0.0,0.0,0.6513049166781435,ABC
1,0.0036496350364963502,0.0,0.6513049166781435,ABC
2,0.021897810218978103,0.0,0.6513049166781435,ABC
3,0.021897810218978103,0.03773584905660377,0.6513049166781435,ABC
4,0.040145985401459854,0.03773584905660377,0.6513049166781435,ABC
5,0.043795620437956206,0.04716981132075472,0.6513049166781435,ABC
6,0.04744525547445255,0.04716981132075472,0.6513049166781435,ABC
7,0.04744525547445255,0.05660377358490566,0.6513049166781435,ABC
8,0.051094890510948905,0.05660377358490566,0.6513049166781435,ABC
9,0.051094890510948905,0.0660377358490566,0.6513049166781435,ABC
10,0.05474452554744526,0.07547169811320754,0.6513049166781435,ABC
11,0.05474452554744526,0.09433962264150944,0.6513049166781435,ABC
12,0.06204379562043796,0.09433962264150944,0.6513049166781435,ABC
13,0.06204379562043796,0.12264150943396226,0.6513049166781435,ABC
14,0.06569343065693431,0.12264150943396226,0.6513049166781435,ABC
15,0.06569343065693431,0.1320754716981132,0.6513049166781435,ABC
16,0.06934306569343066,0.1320754716981132,0.6513049166781435,ABC
17,0.06934306569343066,0.1509433962264151,0.6513049166781435,ABC
18,0.072992700729927,0.1509433962264151,0.6513049166781435,ABC
19,0.072992700729927,0.16037735849056603,0.6513049166781435,ABC
20,0.07664233576642336,0.16037735849056603,0.6513049166781435,ABC
21,0.07664233576642336,0.18867924528301888,0.6513049166781435,ABC
22,0.08029197080291971,0.18867924528301888,0.6513049166781435,ABC
23,0.08029197080291971,0.2169811320754717,0.6513049166781435,ABC
24,0.09124087591240876,0.2169811320754717,0.6513049166781435,ABC
25,0.09124087591240876,0.2358490566037736,0.6513049166781435,ABC
26,0.11678832116788321,0.2358490566037736,0.6513049166781435,ABC
27,0.11678832116788321,0.25471698113207547,0.6513049166781435,ABC
28,0.12043795620437957,0.25471698113207547,0.6513049166781435,ABC
29,0.12043795620437957,0.2641509433962264,0.6513049166781435,ABC
30,0.13138686131386862,0.2641509433962264,0.6513049166781435,ABC
31,0.13138686131386862,0.27358490566037735,0.6513049166781435,ABC
32,0.13503649635036497,0.27358490566037735,0.6513049166781435,ABC
33,0.13503649635036497,0.2830188679245283,0.6513049166781435,ABC
34,0.145985401459854,0.2830188679245283,0.6513049166781435,ABC
35,0.145985401459854,0.3018867924528302,0.6513049166781435,ABC
36,0.16058394160583941,0.3018867924528302,0.6513049166781435,ABC
37,0.16058394160583941,0.3113207547169811,0.6513049166781435,ABC
38,0.1678832116788321,0.3113207547169811,0.6513049166781435,ABC
39,0.1678832116788321,0.32075471698113206,0.6513049166781435,ABC
40,0.17153284671532848,0.330188679245283,0.6513049166781435,ABC
41,0.17153284671532848,0.36792452830188677,0.6513049166781435,ABC
42,0.18248175182481752,0.36792452830188677,0.6513049166781435,ABC
43,0.18248175182481752,0.39622641509433965,0.6513049166781435,ABC
44,0.1897810218978102,0.39622641509433965,0.6513049166781435,ABC
45,0.20072992700729927,0.39622641509433965,0.6513049166781435,ABC
46,0.20072992700729927,0.4056603773584906,0.6513049166781435,ABC
47,0.20802919708029197,0.4056603773584906,0.6513049166781435,ABC
48,0.20802919708029197,0.4528301886792453,0.6513049166781435,ABC
49,0.2116788321167883,0.4528301886792453,0.6513049166781435,ABC
50,0.2116788321167883,0.4716981132075472,0.6513049166781435,ABC
51,0.22992700729927007,0.4716981132075472,0.6513049166781435,ABC
52,0.23357664233576642,0.4811320754716981,0.6513049166781435,ABC
53,0.2664233576642336,0.4811320754716981,0.6513049166781435,ABC
54,0.2664233576642336,0.5,0.6513049166781435,ABC
55,0.2737226277372263,0.5,0.6513049166781435,ABC
56,0.2773722627737226,0.5094339622641509,0.6513049166781435,ABC
57,0.2773722627737226,0.5188679245283019,0.6513049166781435,ABC
58,0.28832116788321166,0.5188679245283019,0.6513049166781435,ABC
59,0.28832116788321166,0.5283018867924528,0.6513049166781435,ABC
60,0.32116788321167883,0.5283018867924528,0.6513049166781435,ABC
61,0.32116788321167883,0.5377358490566038,0.6513049166781435,ABC
62,0.3284671532846715,0.5377358490566038,0.6513049166781435,ABC
63,0.3284671532846715,0.5471698113207547,0.6513049166781435,ABC
64,0.35766423357664234,0.5471698113207547,0.6513049166781435,ABC
65,0.36496350364963503,0.5471698113207547,0.6513049166781435,ABC
66,0.36496350364963503,0.5660377358490566,0.6513049166781435,ABC
67,0.3686131386861314,0.5660377358490566,0.6513049166781435,ABC
68,0.3686131386861314,0.5849056603773585,0.6513049166781435,ABC
69,0.3722627737226277,0.5849056603773585,0.6513049166781435,ABC
70,0.3722627737226277,0.5943396226415094,0.6513049166781435,ABC
71,0.3759124087591241,0.5943396226415094,0.6513049166781435,ABC
72,0.3759124087591241,0.6037735849056604,0.6513049166781435,ABC
73,0.3795620437956204,0.6037735849056604,0.6513049166781435,ABC
74,0.3795620437956204,0.6132075471698113,0.6513049166781435,ABC
75,0.38321167883211676,0.6132075471698113,0.6513049166781435,ABC
76,0.38321167883211676,0.6226415094339622,0.6513049166781435,ABC
77,0.39416058394160586,0.6226415094339622,0.6513049166781435,ABC
78,0.39416058394160586,0.6320754716981132,0.6513049166781435,ABC
79,0.4124087591240876,0.6320754716981132,0.6513049166781435,ABC
80,0.4124087591240876,0.6415094339622641,0.6513049166781435,ABC
81,0.44525547445255476,0.6415094339622641,0.6513049166781435,ABC
82,0.44525547445255476,0.660377358490566,0.6513049166781435,ABC
83,0.4489051094890511,0.660377358490566,0.6513049166781435,ABC
84,0.4489051094890511,0.6792452830188679,0.6513049166781435,ABC
85,0.4744525547445255,0.6792452830188679,0.6513049166781435,ABC
86,0.4744525547445255,0.6886792452830188,0.6513049166781435,ABC
87,0.4781021897810219,0.6886792452830188,0.6513049166781435,ABC
88,0.4854014598540146,0.6886792452830188,0.6513049166781435,ABC
89,0.49635036496350365,0.6886792452830188,0.6513049166781435,ABC
90,0.49635036496350365,0.6981132075471698,0.6513049166781435,ABC
91,0.5072992700729927,0.6981132075471698,0.6513049166781435,ABC
92,0.5072992700729927,0.7075471698113207,0.6513049166781435,ABC
93,0.5109489051094891,0.7075471698113207,0.6513049166781435,ABC
94,0.5109489051094891,0.7169811320754716,0.6513049166781435,ABC
95,0.5145985401459854,0.7169811320754716,0.6513049166781435,ABC
96,0.5145985401459854,0.7264150943396226,0.6513049166781435,ABC
97,0.5364963503649635,0.7264150943396226,0.6513049166781435,ABC
98,0.5364963503649635,0.7358490566037735,0.6513049166781435,ABC
99,0.5437956204379562,0.7358490566037735,0.6513049166781435,ABC
100,0.5437956204379562,0.7452830188679245,0.6513049166781435,ABC
101,0.5583941605839416,0.7452830188679245,0.6513049166781435,ABC
102,0.5583941605839416,0.7547169811320755,0.6513049166781435,ABC
103,0.5802919708029197,0.7547169811320755,0.6513049166781435,ABC
104,0.5875912408759124,0.7547169811320755,0.6513049166781435,ABC
105,0.5875912408759124,0.7735849056603774,0.6513049166781435,ABC
106,0.5985401459854015,0.7735849056603774,0.6513049166781435,ABC
107,0.5985401459854015,0.7924528301886793,0.6513049166781435,ABC
108,0.6131386861313869,0.7924528301886793,0.6513049166781435,ABC
109,0.6131386861313869,0.8018867924528302,0.6513049166781435,ABC
110,0.6313868613138686,0.8018867924528302,0.6513049166781435,ABC
111,0.6313868613138686,0.8113207547169812,0.6513049166781435,ABC
112,0.6459854014598541,0.8113207547169812,0.6513049166781435,ABC
113,0.6459854014598541,0.8301886792452831,0.6513049166781435,ABC
114,0.6715328467153284,0.8301886792452831,0.6513049166781435,ABC
115,0.6715328467153284,0.839622641509434,0.6513049166781435,ABC
116,0.6788321167883211,0.839622641509434,0.6513049166781435,ABC
117,0.6788321167883211,0.8490566037735849,0.6513049166781435,ABC
118,0.6861313868613139,0.8490566037735849,0.6513049166781435,ABC
119,0.6861313868613139,0.8679245283018868,0.6513049166781435,ABC
120,0.708029197080292,0.8679245283018868,0.6513049166781435,ABC
121,0.708029197080292,0.8867924528301887,0.6513049166781435,ABC
122,0.7408759124087592,0.8867924528301887,0.6513049166781435,ABC
123,0.7408759124087592,0.8962264150943396,0.6513049166781435,ABC
124,0.7445255474452555,0.8962264150943396,0.6513049166781435,ABC
125,0.7518248175182481,0.8962264150943396,0.6513049166781435,ABC
126,0.781021897810219,0.8962264150943396,0.6513049166781435,ABC
127,0.781021897810219,0.9056603773584906,0.6513049166781435,ABC
128,0.7846715328467153,0.9056603773584906,0.6513049166781435,ABC
129,0.7846715328467153,0.9150943396226415,0.6513049166781435,ABC
130,0.791970802919708,0.9150943396226415,0.6513049166781435,ABC
131,0.791970802919708,0.9245283018867925,0.6513049166781435,ABC
132,0.7992700729927007,0.9245283018867925,0.6513049166781435,ABC
133,0.7992700729927007,0.9339622641509434,0.6513049166781435,ABC
134,0.8394160583941606,0.9339622641509434,0.6513049166781435,ABC
135,0.8394160583941606,0.9433962264150944,0.6513049166781435,ABC
136,0.8576642335766423,0.9433962264150944,0.6513049166781435,ABC
137,0.8576642335766423,0.9622641509433962,0.6513049166781435,ABC
138,0.8613138686131386,0.9622641509433962,0.6513049166781435,ABC
139,0.8613138686131386,0.9716981132075472,0.6513049166781435,ABC
140,0.8832116788321168,0.9716981132075472,0.6513049166781435,ABC
141,0.8832116788321168,0.9811320754716981,0.6513049166781435,ABC
142,0.9635036496350365,0.9811320754716981,0.6513049166781435,ABC
143,0.9635036496350365,0.9905660377358491,0.6513049166781435,ABC
144,0.9671532846715328,0.9905660377358491,0.6513049166781435,ABC
145,0.9671532846715328,1.0,0.6513049166781435,ABC
146,0.9854014598540146,1.0,0.6513049166781435,ABC
147,0.9927007299270073,1.0,0.6513049166781435,ABC
148,1.0,1.0,0.6513049166781435,ABC
0,0.0,0.0,0.7254682550612863,GNB
1,0.04744525547445255,0.11320754716981132,0.7254682550612863,GNB
2,0.051094890510948905,0.12264150943396226,0.7254682550612863,GNB
3,0.051094890510948905,0.1320754716981132,0.7254682550612863,GNB
4,0.05474452554744526,0.1320754716981132,0.7254682550612863,GNB
5,0.05474452554744526,0.14150943396226415,0.7254682550612863,GNB
6,0.058394160583941604,0.14150943396226415,0.7254682550612863,GNB
7,0.058394160583941604,0.16981132075471697,0.7254682550612863,GNB
8,0.06934306569343066,0.16981132075471697,0.7254682550612863,GNB
9,0.06934306569343066,0.18867924528301888,0.7254682550612863,GNB
10,0.072992700729927,0.18867924528301888,0.7254682550612863,GNB
11,0.072992700729927,0.2169811320754717,0.7254682550612863,GNB
12,0.07664233576642336,0.2169811320754717,0.7254682550612863,GNB
13,0.07664233576642336,0.22641509433962265,0.7254682550612863,GNB
14,0.08029197080291971,0.22641509433962265,0.7254682550612863,GNB
15,0.08029197080291971,0.24528301886792453,0.7254682550612863,GNB
16,0.08759124087591241,0.24528301886792453,0.7254682550612863,GNB
17,0.08759124087591241,0.2641509433962264,0.7254682550612863,GNB
18,0.09124087591240876,0.2641509433962264,0.7254682550612863,GNB
19,0.09124087591240876,0.27358490566037735,0.7254682550612863,GNB
20,0.0948905109489051,0.27358490566037735,0.7254682550612863,GNB
21,0.0948905109489051,0.29245283018867924,0.7254682550612863,GNB
22,0.12043795620437957,0.29245283018867924,0.7254682550612863,GNB
23,0.12043795620437957,0.3018867924528302,0.7254682550612863,GNB
24,0.12773722627737227,0.3018867924528302,0.7254682550612863,GNB
25,0.12773722627737227,0.33962264150943394,0.7254682550612863,GNB
26,0.13138686131386862,0.33962264150943394,0.7254682550612863,GNB
27,0.13138686131386862,0.3490566037735849,0.7254682550612863,GNB
28,0.13503649635036497,0.3490566037735849,0.7254682550612863,GNB
29,0.13503649635036497,0.36792452830188677,0.7254682550612863,GNB
30,0.1386861313868613,0.36792452830188677,0.7254682550612863,GNB
31,0.1386861313868613,0.37735849056603776,0.7254682550612863,GNB
32,0.145985401459854,0.37735849056603776,0.7254682550612863,GNB
33,0.145985401459854,0.39622641509433965,0.7254682550612863,GNB
34,0.14963503649635038,0.39622641509433965,0.7254682550612863,GNB
35,0.14963503649635038,0.42452830188679247,0.7254682550612863,GNB
36,0.15328467153284672,0.42452830188679247,0.7254682550612863,GNB
37,0.15328467153284672,0.44339622641509435,0.7254682550612863,GNB
38,0.16423357664233576,0.44339622641509435,0.7254682550612863,GNB
39,0.16423357664233576,0.4528301886792453,0.7254682550612863,GNB
40,0.1678832116788321,0.4528301886792453,0.7254682550612863,GNB
41,0.1678832116788321,0.46226415094339623,0.7254682550612863,GNB
42,0.17153284671532848,0.46226415094339623,0.7254682550612863,GNB
43,0.17153284671532848,0.4716981132075472,0.7254682550612863,GNB
44,0.17518248175182483,0.4716981132075472,0.7254682550612863,GNB
45,0.17518248175182483,0.4811320754716981,0.7254682550612863,GNB
46,0.18248175182481752,0.4811320754716981,0.7254682550612863,GNB
47,0.18248175182481752,0.5094339622641509,0.7254682550612863,GNB
48,0.19708029197080293,0.5094339622641509,0.7254682550612863,GNB
49,0.19708029197080293,0.5283018867924528,0.7254682550612863,GNB
50,0.20802919708029197,0.5283018867924528,0.7254682550612863,GNB
51,0.20802919708029197,0.5377358490566038,0.7254682550612863,GNB
52,0.2116788321167883,0.5377358490566038,0.7254682550612863,GNB
53,0.2116788321167883,0.5566037735849056,0.7254682550612863,GNB
